Soltu.DM.06G029480.1|CDS	Soltu.Atl_v3.06_4G019480.1	98.738	1505	19	0	1	1505	1	1505	0.0	2675
Soltu.DM.06G029480.1|CDS	Soltu.Atl_v3.06_4G019480.1	95.161	310	7	1	1584	1893	1505	1806	2.12e-134	483
Soltu.DM.06G029480.1|CDS	Soltu.Atl_v3.06_3G019900.1	99.921	1273	1	0	1	1273	1	1273	0.0	2346
Soltu.DM.06G029480.1|CDS	Soltu.Atl_v3.06_3G019900.1	96.304	487	6	1	1407	1893	1512	1986	0.0	789
Soltu.DM.06G029480.1|CDS	Soltu.Atl_v3.06_3G019900.1	96.629	89	2	1	1270	1358	1426	1513	3.16e-33	147
Soltu.DM.06G029480.1|CDS	Soltu.Atl_v3.06_1G014020.1	99.843	1273	2	0	1	1273	1	1273	0.0	2340
Soltu.DM.06G029480.1|CDS	Soltu.Atl_v3.06_1G014020.1	99.029	103	1	0	1271	1373	1373	1475	6.69e-45	185
Soltu.DM.06G029480.1|CDS	Soltu.Atl_v3.06_2G026000.1	98.628	802	11	0	472	1273	553	1354	0.0	1421
Soltu.DM.06G029480.1|CDS	Soltu.Atl_v3.06_2G026000.1	98.737	475	6	0	1	475	1	475	0.0	845
Soltu.DM.06G029480.1|CDS	Soltu.Atl_v3.06_2G026000.2	98.701	770	10	0	472	1241	553	1322	0.0	1367
Soltu.DM.06G029480.1|CDS	Soltu.Atl_v3.06_2G026000.2	98.737	475	6	0	1	475	1	475	0.0	845
Soltu.DM.01G006400.1|CDS	Soltu.Atl_v3.01_0G000330.1	100.000	1305	0	0	1	1305	1	1305	0.0	2410
Soltu.DM.01G006400.1|CDS	Soltu.Atl_v3.01_1G005730.1	99.617	1305	5	0	1	1305	1	1305	0.0	2383
Soltu.DM.01G006400.1|CDS	Soltu.Atl_v3.01_4G006370.1	99.540	1305	6	0	1	1305	1	1305	0.0	2377
Soltu.DM.01G006400.1|CDS	Soltu.Atl_v3.01_0G000330.2	99.918	1216	1	0	90	1305	12	1227	0.0	2241
Soltu.DM.01G006400.1|CDS	Soltu.Atl_v3.06_4G019480.1	83.743	1261	203	2	14	1273	14	1273	0.0	1192
